10_comment_mixed_line_block | Valid | 
20_false_from_start | Valid | 
20_incomplete_parenthesized_rhs | NotImplementedYet | 
20_logic_operator_after_return | NotImplementedYet | 
20_mix_logic_arithmetic_precedence | NotImplementedYet | 
21_countdown_to_negative | Valid | 
22_while_then_if_elsif_else | NotImplementedYet | 
2_comment_block_simple | Valid | 
2_comment_inside_identifier | Invalid | 
2_minus_equal_basic | NotImplementedYet | 
2_minus_equal_missing_rhs | NotImplementedYet | 
2_missing_semicolon | Invalid | 
2_one_iteration | Valid | 
2_or_guard_division | NotImplementedYet | 
2_or_missing_rhs | NotImplementedYet | 
2_return42 | Valid | 
2_return_immediat | Valid | 
2_switch_break | NotImplementedYet | 
2_switch_duplicate_default | NotImplementedYet | 
3_and_missing_lhs | NotImplementedYet | 
3_and_or_nested | NotImplementedYet | 
3_case_outside_switch | NotImplementedYet | 
3_comment_after_if_without_condition | Invalid | 
3_comment_block_multiline | Valid | 
3_missing_closing_brace | Invalid | 
3_mul_equal_basic | NotImplementedYet | 
3_mul_equal_missing_rhs | NotImplementedYet | 
3_return_avec_calcul | Valid | 
3_return_var | Valid | 
3_simple_increment | Valid | 
3_switch_fallthrough | NotImplementedYet | 
4_comment_after_statement | Valid | 
4_comment_breaks_operator | Invalid | 
4_default_outside_switch | NotImplementedYet | 
4_div_equal_basic | NotImplementedYet | 
4_div_equal_missing_rhs | NotImplementedYet | 
4_multiple_declarations_used | Valid | 
4_or_missing_lhs | NotImplementedYet | 
4_precedence_mix | NotImplementedYet | 
4_return_var_used_not_declared | Invalid | 
4_simple_decrement | Valid | 
4_switch_default_only | NotImplementedYet | 
4_trois_returns | Valid | 
5_bad_double_and | NotImplementedYet | 
5_code_mort_apres_return | Valid | 
5_comment_before_statement | Valid | 
5_mod_equal_basic | NotImplementedYet | 
5_mod_equal_missing_rhs | NotImplementedYet | 
5_parenthesized_logic | NotImplementedYet | 
5_rhs_var_used_not_declared | Invalid | 
5_sum_1_to_5 | Valid | 
5_switch_no_default_no_match | NotImplementedYet | 
5_unused_var | Valid | 
6_bad_double_or | NotImplementedYet | 
6_chain_compound | NotImplementedYet | 
6_comment_between_tokens | Valid | 
6_plus_equal_missing_lhs | NotImplementedYet | 
6_product_1_to_4 | Valid | 
6_switch_char_constant | NotImplementedYet | 
6_switch_float_case_value | NotImplementedYet | 
6_var_declared_multiple_times | Invalid | 
6_while_lazy_condition | NotImplementedYet | 
7_bad_token_after_op | NotImplementedYet | 
7_chain_and_or | NotImplementedYet | 
7_comment_inside_expression | Valid | 
7_compound_with_expr | NotImplementedYet | 
7_copy_variable | Valid | 
7_switch_default_middle | NotImplementedYet | 
7_switch_missing_closing_brace | NotImplementedYet | 
7_unbalanced_paren | NotImplementedYet | 
7_var_declared_multiple_times_2 | Invalid | 
8_comment_inside_if | Valid | 
8_compound_in_loop | NotImplementedYet | 
8_declaration | Valid | 
8_invalid_operator_form | NotImplementedYet | 
8_missing_semicolon | NotImplementedYet | 
8_switch_in_function | NotImplementedYet | 
8_switch_missing_parens | NotImplementedYet | 
8_with_expression_condition | Valid | 
8_with_unary_not | NotImplementedYet | 
9_comment_inside_while | Valid | 
9_compound_multiple_vars | NotImplementedYet | 
9_in_return_expression | NotImplementedYet | 
9_missing_semicolon | NotImplementedYet | 
9_mult | Valid | 
9_nested_basic | NotImplementedYet | 
9_operator_sequence_error | NotImplementedYet | 
9_switch_case_missing_colon | NotImplementedYet | 
9_switch_expr_condition | NotImplementedYet | 
addition | Valid | 
addition_missing_lhs | Valid | 
addition_missing_rhs | Invalid | 
addrof_rvalue | Invalid | 
affectation_ptr | Valid | 
alphabet | NotImplementedYet | 
and_bad_token | Invalid | 
and_binaire | Valid | 
and_chained | Valid | 
and_double_op | Invalid | 
and_missing_lhs | Invalid | 
and_missing_rhs | Invalid | 
and_missing_semicolon | Invalid | 
and_or_mix | Valid | 
and_or_xor_combo | Valid | 
and_parentheses | Valid | 
and_precedence | Valid | 
and_unbalanced_paren | Invalid | 
and_with_unary | Valid | 
associativite | Valid | 
associativite_imbriquee | Valid | 
bitwise_or | NotImplementedYet | 
block_assignment_inside | NotImplementedYet | 
block_bad_decl | Invalid | 
block_bad_expr | Invalid | 
block_compound | NotImplementedYet | 
block_deep_nesting | NotImplementedYet | 
block_expression_chain | NotImplementedYet | 
block_extra_brace | Invalid | 
block_if_else | NotImplementedYet | 
block_if_in_block | NotImplementedYet | 
block_incomplete_decl | Invalid | 
block_misplaced_return | Invalid | 
block_missing_closing_while | Invalid | 
block_missing_return_brace | Invalid | 
block_missing_semicolon | Invalid | 
block_mixed_ops | NotImplementedYet | 
block_multiple_declarations | NotImplementedYet | 
block_nested | NotImplementedYet | 
block_nested_error | Invalid | 
block_no_block_keyword | Invalid | 
block_parentheses_expr | NotImplementedYet | 
block_return_early | NotImplementedYet | 
block_simple | NotImplementedYet | 
block_unclosed | Invalid | 
block_unsupported_token | Invalid | 
block_var_scope | NotImplementedYet | 
block_while_body | NotImplementedYet | 
block_while_in_block | NotImplementedYet | 
block_wrong_return_type | Invalid | 
break_outside_while | Invalid | 
comp_parentheses | NotImplementedYet | 
comp_simple | NotImplementedYet | 
complexe | Valid | 
consecutive_numbers | Invalid | 
continue_outside_while | Invalid | 
declaration_ptr | Valid | 
deref_non_pointer | Invalid | 
deref_plus_equal | Valid | 
dereference_ecriture | Valid | 
dereference_lecture | Valid | 
div_equal | Valid | 
div_equal_bad_token | Invalid | 
division | Valid | 
division_missing_lhs | Invalid | 
division_missing_rhs | Invalid | 
division_unaire | Valid | 
division_var | Valid | 
double_deref_read | Valid | 
double_operator | Invalid | 
double_operators | Invalid | 
double_operators_2 | Invalid | 
double_semicolon | NotImplementedYet | 
empty_block | NotImplementedYet | 
empty_expr_in_assignment | Invalid | 
empty_expr_in_init | Invalid | 
empty_parentheses | Invalid | 
expr_imbriquee_priorite | Valid | 
extra_closing_parenthesis | Invalid | 
fibo | NotImplementedYet | 
func_bad_block | NotImplementedYet | 
func_bad_param | Invalid | 
func_duplicate_param | Invalid | 
func_ext_keyword | NotImplementedYet | 
func_invalid_keyword | Invalid | 
func_invalid_return_type | NotImplementedYet | 
func_missing_brace | Invalid | 
func_missing_comma | Invalid | 
func_missing_paren | Invalid | 
func_no_type | Invalid | 
func_return_missing | NotImplementedYet | 
func_single_stmt_missing_semicolon | Invalid | 
func_too_few_args | Invalid | 
func_too_many_args | Invalid | 
func_undefined | Invalid | 
function_call_in_expr | NotImplementedYet | 
function_default | NotImplementedYet | 
function_expr_arg | NotImplementedYet | 
function_if_branch | NotImplementedYet | 
function_multi | NotImplementedYet | 
function_multi_param_expr | NotImplementedYet | 
function_nested_call | NotImplementedYet | 
function_no_param | NotImplementedYet | 
function_order | NotImplementedYet | 
function_param_chain | NotImplementedYet | 
function_params_add | NotImplementedYet | 
function_return_var | NotImplementedYet | 
function_scope | NotImplementedYet | 
function_simple_return | NotImplementedYet | 
function_while | NotImplementedYet | 
getchar_assignment | Valid | 
getchar_declaration_init | Valid | 
getchar_nested_incorrect | Invalid | 
getchar_return | Valid | 
getchar_too_many_arguments | Invalid | 
getchar_with_argument | Invalid | 
if_arith_condition | NotImplementedYet | 
if_bad_nesting | Invalid | 
if_block_else_line | NotImplementedYet | 
if_complex_condition | NotImplementedYet | 
if_cond_var | NotImplementedYet | 
if_else | NotImplementedYet | 
if_else_if | NotImplementedYet | 
if_expression_error | Invalid | 
if_extended_case | NotImplementedYet | 
if_inline | NotImplementedYet | 
if_line_else_block | NotImplementedYet | 
if_logic_mix | NotImplementedYet | 
if_many_assignments | NotImplementedYet | 
if_missing_brace | Invalid | 
if_missing_closing_paren | Invalid | 
if_missing_condition | Invalid | 
if_missing_if_keyword | Invalid | 
if_missing_opening_paren | Invalid | 
if_missing_paren | Invalid | 
if_nested | NotImplementedYet | 
if_nested_math | NotImplementedYet | 
if_no_else_braces | NotImplementedYet | 
if_no_parentheses | Invalid | 
if_simple | NotImplementedYet | 
if_unclosed_block | Invalid | 
if_variable_assignment | NotImplementedYet | 
if_with_semicolon_before_else | Invalid | 
if_with_unknown_token | Invalid | 
ifbasic | NotImplementedYet | 
illegal_token_in_expr | Invalid | 
imbriquee | Valid | 
inegalite | NotImplementedYet | 
invalid_expr_in_assignment | Invalid | 
invalid_expr_in_init | Invalid | 
logical_and_basic | Valid | 
logical_and_missing_lhs | Invalid | 
logical_and_missing_rhs | Invalid | 
logical_and_or_precedence | Valid | 
logical_and_short_circuit | Valid | 
logical_or_basic | Valid | 
logical_or_double_op | Invalid | 
logical_or_missing_lhs | Invalid | 
logical_or_missing_rhs | Invalid | 
logical_or_short_circuit | Valid | 
minus_equal | Valid | 
minus_equal_missing_lhs | Invalid | 
missing_closing_parenthesis | Invalid | 
missing_opening_parenthesis | Invalid | 
missing_operand | Invalid | 
missing_operator | Invalid | 
mod_equal | Valid | 
modulo | Valid | 
modulo_expression | Valid | 
modulo_missing_lhs | Invalid | 
modulo_missing_rhs | Invalid | 
mul_equal | Valid | 
mul_equal_missing_semicolon | Invalid | 
mul_pointers | Invalid | 
multi_bitwise_and | Valid | 
multi_bitwise_or | Valid | 
multi_bitwise_xor | Valid | 
multiple_binaire | Valid | 
multiple_chained | Valid | 
multiplication | Valid | 
multiplication_missing_lhs | Invalid | 
multiplication_missing_rhs | Invalid | 
nested_missing_parenthesis | Invalid | 
no_instructions | NotImplementedYet | 
not_unaire | Valid | 
not_unaire2 | Valid | 
not_unaire3 | Valid | 
not_unaire4 | Valid | 
or_after_if | Invalid | 
or_and_mix | Valid | 
or_bad_token | Invalid | 
or_binaire | Valid | 
or_chained | Valid | 
or_missing_lhs | Invalid | 
or_missing_rhs | Invalid | 
or_missing_semicolon | Invalid | 
or_parentheses | Valid | 
or_precedence | Valid | 
or_unbalanced_paren | Invalid | 
or_with_unary | Valid | 
parentheses | Valid | 
plus_equal | Valid | 
plus_equal_missing_rhs | Invalid | 
print_int | NotImplementedYet | 
priorite | NotImplementedYet | 
priorites | Valid | 
priorites_complexe | Valid | 
priorites_division | Valid | 
priorites_left_assoc_div | Valid | 
priorites_mixed | Valid | 
priorites_modulo | Valid | 
priorites_modulo_div | Valid | 
priorites_multiple_mult | Valid | 
priorites_plus_unaire | Valid | 
priorites_unaire_add | Valid | 
priorites_unaire_mult | Valid | 
priorites_var | Valid | 
ptr_copy_chain | Valid | 
ptr_ecriture | Valid | 
ptr_eq | Valid | 
ptr_lecture | Valid | 
ptr_neq | Valid | 
ptr_parenthesized_deref | Valid | 
putchar_assignment | Valid | 
putchar_declaration_init | Valid | 
putchar_getchar | Valid | 
putchar_more_than_one_arg | Invalid | 
putchar_nested_bad_getchar | Invalid | 
putchar_return | Valid | 
putchar_undeclared_identifier | Invalid | 
putchar_variable | Valid | 
putchar_without_argument | Invalid | 
soustraction | Valid | 
subtraction_missing_rhs | Invalid | 
test_plus_plus | Invalid | 
tres_imbriquee | Valid | 
unaire | Valid | 
unary_double | NotImplementedYet | 
unary_double_minus_bad | Invalid | 
unary_logical_not_false | Valid | 
unary_logical_not_true | Valid | 
unary_minus_and_add | Valid | 
unary_minus_bad_var | Invalid | 
unary_minus_expr | Valid | 
unary_minus_illegal_token | Invalid | 
unary_minus_in_if | NotImplementedYet | 
unary_minus_incomplete_expr | Invalid | 
unary_minus_missing_rhs | Invalid | 
unary_minus_missing_semi | Invalid | 
unary_minus_multi | Valid | 
unary_minus_nested | Valid | 
unary_minus_parentheses | Valid | 
unary_minus_simple | Valid | 
unary_minus_unbalanced | Invalid | 
unary_minus_var | Valid | 
unary_minus_without_value | Invalid | 
unary_missing_operand | Invalid | 
unary_mixed | Valid | 
unary_not_and_or | Valid | 
unary_not_bad_var | Invalid | 
unary_not_complex | Valid | 
unary_not_expr | Valid | 
unary_not_illegal_token | Invalid | 
unary_not_in_if | NotImplementedYet | 
unary_not_incomplete_expr | Invalid | 
unary_not_missing_operand | Invalid | 
unary_not_missing_semi | Invalid | 
unary_not_unbalanced | Invalid | 
unary_not_without_value | Invalid | 
unbalanced_paren | Invalid | 
undeclared_pointer | Invalid | 
undeclared_var_in_expr | Invalid | 
var_addition | Valid | 
while_break | Valid | 
while_continue | Valid | 
while_nested_break_continue | Valid | 
while_simple | Valid | 
xor_bad_token | Invalid | 
xor_missing_lhs | Invalid | 
xor_missing_rhs | Invalid | 
xor_missing_semicolon | Invalid | 
xor_no_operand | Invalid | 
xor_parentheses | Valid | 
xor_precedence | Valid | 
xor_unbalanced_paren | Invalid | 
xor_with_unary | Valid | 
